index,emoji,name,group,sub_group,codepoints,is_0_1
33,🤐zipper-mouth face,zipper-mouth face,Smileys & Emotion,face-neutral-skeptical,1F910,1
34,🤨face with raised eyebrow,face with raised eyebrow,Smileys & Emotion,face-neutral-skeptical,1F928,1
35,😐neutral face,neutral face,Smileys & Emotion,face-neutral-skeptical,1F610,1
36,😑expressionless face,expressionless face,Smileys & Emotion,face-neutral-skeptical,1F611,1
37,😶face without mouth,face without mouth,Smileys & Emotion,face-neutral-skeptical,1F636,1
38,😏smirking face,smirking face,Smileys & Emotion,face-neutral-skeptical,1F60F,1
39,😒unamused face,unamused face,Smileys & Emotion,face-neutral-skeptical,1F612,1
40,🙄face with rolling eyes,face with rolling eyes,Smileys & Emotion,face-neutral-skeptical,1F644,1
41,😬grimacing face,grimacing face,Smileys & Emotion,face-neutral-skeptical,1F62C,1
42,🤥lying face,lying face,Smileys & Emotion,face-neutral-skeptical,1F925,1
43,😌relieved face,relieved face,Smileys & Emotion,face-sleepy,1F60C,1
44,😔pensive face,pensive face,Smileys & Emotion,face-sleepy,1F614,1
45,😪sleepy face,sleepy face,Smileys & Emotion,face-sleepy,1F62A,1
46,🤤drooling face,drooling face,Smileys & Emotion,face-sleepy,1F924,1
47,😴sleeping face,sleeping face,Smileys & Emotion,face-sleepy,1F634,1
48,😷face with medical mask,face with medical mask,Smileys & Emotion,face-unwell,1F637,1
49,🤒face with thermometer,face with thermometer,Smileys & Emotion,face-unwell,1F912,1
50,🤕face with head-bandage,face with head-bandage,Smileys & Emotion,face-unwell,1F915,1
51,🤢nauseated face,nauseated face,Smileys & Emotion,face-unwell,1F922,1
52,🤮face vomiting,face vomiting,Smileys & Emotion,face-unwell,1F92E,1
53,🤧sneezing face,sneezing face,Smileys & Emotion,face-unwell,1F927,1
54,🥵hot face,hot face,Smileys & Emotion,face-unwell,1F975,1
55,🥶cold face,cold face,Smileys & Emotion,face-unwell,1F976,1
56,🥴woozy face,woozy face,Smileys & Emotion,face-unwell,1F974,1
57,😵dizzy face,dizzy face,Smileys & Emotion,face-unwell,1F635,1
58,🤯exploding head,exploding head,Smileys & Emotion,face-unwell,1F92F,1
59,🤠cowboy hat face,cowboy hat face,Smileys & Emotion,face-hat,1F920,1
60,🥳partying face,partying face,Smileys & Emotion,face-hat,1F973,1
61,🥸disguised face,disguised face,Smileys & Emotion,face-hat,1F978,1
62,😎smiling face with sunglasses,smiling face with sunglasses,Smileys & Emotion,face-glasses,1F60E,11
63,🤓nerd face,nerd face,Smileys & Emotion,face-glasses,1F913,1
64,🧐face with monocle,face with monocle,Smileys & Emotion,face-glasses,1F9D0,1
65,😕confused face,confused face,Smileys & Emotion,face-concerned,1F615,1
66,😟worried face,worried face,Smileys & Emotion,face-concerned,1F61F,1
67,🙁slightly frowning face,slightly frowning face,Smileys & Emotion,face-concerned,1F641,1
68,☹️frowning face,frowning face,Smileys & Emotion,face-concerned,2639 FE0F,1
69,☹frowning face,frowning face,Smileys & Emotion,face-concerned,2639,1
70,😮face with open mouth,face with open mouth,Smileys & Emotion,face-concerned,1F62E,1
71,😯hushed face,hushed face,Smileys & Emotion,face-concerned,1F62F,1
72,😲astonished face,astonished face,Smileys & Emotion,face-concerned,1F632,1
73,😳flushed face,flushed face,Smileys & Emotion,face-concerned,1F633,1
74,🥺pleading face,pleading face,Smileys & Emotion,face-concerned,1F97A,1
75,😦frowning face with open mouth,frowning face with open mouth,Smileys & Emotion,face-concerned,1F626,1
76,😧anguished face,anguished face,Smileys & Emotion,face-concerned,1F627,1
77,😨fearful face,fearful face,Smileys & Emotion,face-concerned,1F628,1
78,😰anxious face with sweat,anxious face with sweat,Smileys & Emotion,face-concerned,1F630,1
79,😥sad but relieved face,sad but relieved face,Smileys & Emotion,face-concerned,1F625,1
80,😢crying face,crying face,Smileys & Emotion,face-concerned,1F622,1
81,😭loudly crying face,loudly crying face,Smileys & Emotion,face-concerned,1F62D,1
82,😱face screaming in fear,face screaming in fear,Smileys & Emotion,face-concerned,1F631,1
83,😖confounded face,confounded face,Smileys & Emotion,face-concerned,1F616,1
84,😣persevering face,persevering face,Smileys & Emotion,face-concerned,1F623,1
85,😞disappointed face,disappointed face,Smileys & Emotion,face-concerned,1F61E,1
86,😓downcast face with sweat,downcast face with sweat,Smileys & Emotion,face-concerned,1F613,1
87,😩weary face,weary face,Smileys & Emotion,face-concerned,1F629,1
88,😫tired face,tired face,Smileys & Emotion,face-concerned,1F62B,1
89,🥱yawning face,yawning face,Smileys & Emotion,face-concerned,1F971,1
90,😤face with steam from nose,face with steam from nose,Smileys & Emotion,face-negative,1F624,1
91,😡pouting face,pouting face,Smileys & Emotion,face-negative,1F621,1
92,😠angry face,angry face,Smileys & Emotion,face-negative,1F620,1
93,🤬face with symbols on mouth,face with symbols on mouth,Smileys & Emotion,face-negative,1F92C,1
94,😈smiling face with horns,smiling face with horns,Smileys & Emotion,face-negative,1F608,1
95,👿angry face with horns,angry face with horns,Smileys & Emotion,face-negative,1F47F,1
96,💀skull,skull,Smileys & Emotion,face-negative,1F480,1
